event_date,month,year,day,date_description,name,city,country,kind,latitude,longitude,part_of_the_world
3 Oct 2015,10,2015,3,Oct-15,Tartu City Marathon,Tartu,Estonia,M/H/R,58.377625,26.729006,Europe
3 Oct 2015,10,2015,3,Oct-15,Legends Marathon,East London,South Africa,U/H,-33.029158,27.854586,Africa
4 Oct 2015,10,2015,4,Oct-15,1/2 Maraton Scotiabank,Santiago,Peru,H,-14.176111,-75.716796,Latin America
4 Oct 2015,10,2015,4,Oct-15,Lloyds Bank Cardiff Half Marathon,Cardiff,Wales,H,51.481581,-3.179089,Europe
4 Oct 2015,10,2015,4,Oct-15,Belfius Brussels Marathon & Half Marathon,Brussels,Belgium,M/H,50.850339,4.35171,Europe
4 Oct 2015,10,2015,4,Oct-15,RAHAL 10k International Marrakech,Marrakech,Morocco,R,31.629472,-7.981084,Africa
4 Oct 2015,10,2015,4,Oct-15,Bournemouth Marathon Festival,Bournemouth,England,M/H/R,50.719164,-1.880768,Europe
4 Oct 2015,10,2015,4,Oct-15,RheinEnergieMarathon Cologne,Cologne,Germany,M/H,50.937531,6.960278,Europe
4 Oct 2015,10,2015,4,Oct-15,Kosice Peace Marathon,Kosice,Slovakia,M,48.721005,21.257799,Europe
4 Oct 2015,10,2015,4,Oct-15,Portland Marathon,Portland OR,USA,M,45.523062,-122.676481,North America
4 Oct 2015,10,2015,4,Oct-15,Bila Tserkva Marathon,Bila Tserkva,Ukraine,M/R,49.796797,30.131085,Europe
4 Oct 2015,10,2015,4,Oct-15,Colombo Marathon,Colombo,Sri Lanka,M/H,6.927078,79.861243,Asia
4 Oct 2015,10,2015,4,Oct-15,Hans Christian Andersen Marathon,Odense,Denmark,M,55.403755,10.40237,Europe
4 Oct 2015,10,2015,4,Oct-15,Gatorade Caracas Rock 10K,Caracas,Venezuela,R,10.480593,-66.903606,South America
4 Oct 2015,10,2015,4,Oct-15,Queretaro Maraton,Queretaro,Mexico,M/H/R,20.588793,-100.389888,North America
4 Oct 2015,10,2015,4,Oct-15,3 Country Sparkasse Marathon,Lake Constance,Austria,M/H,47.636337,9.389244,Europe
4 Oct 2015,10,2015,4,Oct-15,Silesia Marathon,Silesia,Poland,M/H/R,50.571659,19.321976,Europe
4 Oct 2015,10,2015,4,Oct-15,Turin Marathon,Turin,Italy,M,45.070312,7.686856,Europe
4 Oct 2015,10,2015,4,Oct-15,Bucharest Marathon,Bucharest,Romania,M/H,44.426767,26.102538,Europe
